BLOCOS	CLONES	VARIÁVEL
1	1	68.61
2	1	69.69
3	1	70.21
4	1	72.49
5	1	74.85
1	2	56.39
2	2	53.38
3	2	54.21
4	2	56.27
5	2	61.57
1	3	63.51
2	3	63.63
3	3	64.91
4	3	67.87
5	3	69.75
1	4	62.28
2	4	59.26
3	4	60.90
4	4	64.19
5	4	68.77
1	5	57.11
2	5	56.11
3	5	57.20
4	5	60.01
5	5	61.38
1	6	49.83
2	6	43.50
3	6	43.58
4	6	43.76
5	6	46.66
1	7	54.09
2	7	48.09
3	7	49.86
4	7	47.52
5	7	50.01
1	8	56.01
2	8	44.71
3	8	45.60
4	8	47.93
5	8	49.96
1	9	61.49
2	9	63.10
3	9	63.94
4	9	66.70
5	9	69.37
1	10	62.01
2	10	62.58
3	10	63.31
4	10	65.08
5	10	68.05
1	11	58.94
2	11	57.96
3	11	59.56
4	11	62.32
5	11	64.42
