A	B	BLOCOS	VARIÁVEL
1	1	1	1.73205
1	1	2	1.73205
1	2	1	1.73205
1	2	2	1.73205
1	3	1	1.73205
1	3	2	1.41421
2	1	1	2.23606
2	1	2	2.23606
2	2	1	2.23606
2	2	2	2.23606
2	3	1	2.00000
2	3	2	1.73205
3	1	1	1.41421
3	1	2	1.41421
3	2	1	1.41421
3	2	2	1.41421
3	3	1	1.00000
3	3	2	1.41421
4	1	1	2.23606
4	1	2	2.23606
4	2	1	2.00000
4	2	2	2.23606
4	3	1	2.00000
4	3	2	1.73205
5	1	1	1.41421
5	1	2	1.41421
5	2	1	1.41421
5	2	2	1.73205
5	3	1	1.41421
5	3	2	2.00000
6	1	1	2.00000
6	1	2	2.23606
6	2	1	2.23606
6	2	2	2.00000
6	3	1	2.00000
6	3	2	1.73205
7	1	1	2.23606
7	1	2	2.23606
7	2	1	2.00000
7	2	2	2.00000
7	3	1	1.72205
7	3	2	1.41421
8	1	1	2.23606
8	1	2	2.23606
8	2	1	2.23606
8	2	2	2.23606
8	3	1	2.23606
8	3	2	2.23606
9	1	1	2.00000
9	1	2	2.23606
9	2	1	2.00000
9	2	2	2.00000
9	3	1	1.73205
9	3	2	1.73205
10	1	1	2.00000
10	1	2	2.00000
10	2	1	2.23606
10	2	2	1.73205
10	3	1	1.41421
10	3	2	1.73205
11	1	1	1.73205
11	1	2	1.73205
11	2	1	1.73205
11	2	2	1.73205
11	3	1	1.41421
11	3	2	1.41421
