repeticao	bloco	progenie	MÉDIA_AP
1	1	1	68.10
1	1	2	77.90
1	1	3	76.40
1	1	4	60.15
1	2	5	66.75
1	2	6	67.85
1	2	7	73.80
1	2	8	46.40
1	3	9	70.60
1	3	10	72.70
1	3	11	83.50
1	3	12	82.65
1	4	13	79.40
1	4	14	78.15
1	4	15	46.55
1	4	16	62.20
2	5	1	74.65
2	5	5	66.75
2	5	9	82.70
2	5	13	78.55
2	6	2	52.75
2	6	6	87.50
2	6	10	76.20
2	6	14	72.25
2	7	3	67.75
2	7	7	64.65
2	7	11	73.90
2	7	15	60.70
2	8	4	74.30
2	8	8	61.65
2	8	12	65.45
2	8	16	77.10
3	9	1	67.00
3	9	6	65.75
3	9	11	73.75
3	9	16	70.30
3	10	5	62.90
3	10	2	64.50
3	10	15	67.75
3	10	12	54.75
3	11	9	56.80
3	11	14	73.75
3	11	3	69.50
3	11	8	64.80
3	12	13	68.60
3	12	10	68.25
3	12	7	45.75
3	12	4	63.00
4	13	1	70.80
4	13	14	71.85
4	13	7	65.50
4	13	12	60.25
4	14	13	75.20
4	14	2	65.70
4	14	11	74.35
4	14	8	67.00
4	15	5	82.65
4	15	10	71.55
4	15	3	65.25
4	15	16	76.00
4	16	9	70.00
4	16	6	75.65
4	16	15	64.60
4	16	4	64.15
5	17	1	73.75
5	17	10	66.55
5	17	15	81.05
5	17	8	70.25
5	18	9	63.95
5	18	2	72.85
5	18	7	69.35
5	18	16	69.90
5	19	13	52.65
5	19	6	67.30
5	19	3	38.30
5	19	12	37.95
5	20	5	53.75
5	20	14	65.65
5	20	11	64.35
5	20	4	52.50
